ID	Label	Type	Parent Class	Definition		new_label_prefix	editor	creation_date	update_date
ID	A rdfs:label	TYPE	SC %	A IAO_0000115
PHO:0001228	chromatographic separation process	class	'material component separation'	A separation of the components of a sample based on their relative affinity between two non-miscible material entities.			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001229	affinity chromatographic separation process	class	'material component separation'	A separation of the components of a sample based on their ability to interact specifically with a molecule or a part of it			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001230	chemically triggered transformation process	class	'planned process'	Transformation of a part or all the sample components by adding a chemical.			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001231	gas chromatography separation process	class	'chromatographic separation process'	A separation of the components of a sample using gas or vapor as a vector.			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001232	thermomicro chromatographic separation process	class	'gas chromatography separation process'	A gas chromatography experiment using a sample mixed with a water-wet matrix that is slowly heated in a container. The water vapor caries sample components that reacted or not with the water or the media and adsorb on a TLC-plate that is placed next to the outlet of the container.			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001233	thermofractographic separation process	class	'gas chromatography separation process'	A gas chromatography experiment using a sample in an open ended tube that is fed with nitrogen on one side and that is slowly heated. The gas caries sample components  and adsorb on a TLC-plate that is placed above the outlet of the container.			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001235	isolation process	class	'material component separation'	A separation of a single molecular entity from a sample.			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001236	identification process	class	'planned process'	The identification of a single molecular entity by the derivation of some of its physicochemical characteristics.			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001237	NMR spectral measurement process	class	'planned process'	The measurement of the Nuclear Magnetic Resonance spectrum of a sample.			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001238	hydrogen-1 NMR spectral measurement process	class	'NMR spectral measurement process'	The measurement of the hydrogen-1 nuclei Nuclear Magnetic Resonance (NMR) spectrum of a sample.			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001239	carbon-13 NMR spectral measurement process	class	'NMR spectral measurement process'	The measurement of the carbon-13 nuclei Nuclear Magnetic Resonance (NMR) spectrum of a sample.			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001240	mass spectrometry measurement process	class	'planned process'	The measurement of the mass spectrum of a sample.			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001241	fragmentation mass spectrometry measurement process 	class	'mass spectrometry measurement process'	The measurement of the mass spectrum of fragments of a given sample or other fragments. The fragments are usually formed in a ionization chamber in the mass spectrometer.			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001242	infrared spectrum measurement process	class	'planned process'	The measurement of the infrared absorption spectrum of a given sample.			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001243	ultraviolet spectrum measurement process	class	'planned process'	The measurement of the ultraviolet absorption spectrum of a given sample.			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001244	gas chromatography coupled to mass spectrometry separation process	class	'chromatographic separation process'	A separation of the components of a sample using gas or vapor as a vector followed by detection in a mass spectrometer.			0000-0003-1640-9989	2019-12-09	2019-12-09
PHO:0001245	liquid chromatographic separation process	class	'chromatographic separation process'	A separation of the components of a sample based on their relative affinity between two non-miscible material entities one (and only one) of them being a liquid.			0000-0003-1640-9989	2019-12-09	2019-12-09
